b0100012886;Кран шаровой сталь 12Х18Н10Т вода КШЦМ Ду25 Ру40 ВР/ВР стандартный проход рычаг LD 13300259401MULD000000000;21;Запорная арматура;Краны;LD;Z;NL;2 889,64;3 592;0301-01813;@;1;0
b0100014115;Клапан запорн латунь 15б3р Ду15 Ру10  ВР/ВР  STC 0100;408;Запорная арматура;Клапаны;STC;S;P2;95,03;152,05;0304-00001;&;0;0
mt000000029;Ключ трубный рычажный Сибртех №3 литой  15761;1;Инструмент, сварочное оборудование и материалы;Инструмент универсальный;Сибртех;Z;D2;725,93;1 016,33;1201-00936;&;0;3
b0100022079;Вентиль PP-R запорн белый Дн20х1/2" НР для радиатора прямой ПК Контур 011123020100;73;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Q;D0;172,21;422,7;0105-00561;&;0;0
b0100008270;Контргайка сталь Ду15 по ГОСТ 8968-75 КНР;1 503;Трубопроводы и соединительные части;Труба стальная и соединительные части;КНР;S;P2;12,22;16,99;0101-01442;@;0;0
b0100026574;Бачок ЦОП высокий белый шток б/арматуры Новокузнецк;87;Сантехника;Унитазы;Новокузнецк;Z;D0;603,2;784;0902-00600;&;0;6
b0100018604;Радиатор алюминий Термал Стандарт-52 500 8 секций 1,288кВт ЗМЗ;11;Отопительное оборудование;Радиаторы;ЗМЗ;Q;D0;2 060,6;3 296,96;0502-01605;&;0;0
b0100030442;Термостат защитный SPC 105гр. (100310) (ЧЕЛЯБ);1;Водонагреватели;Комплектующие для водонагревателей;;Z;NL;381,38;352;;&;2;8
b0100030521;Кран шаровой сталь DZT Ду125 Ру16 п/привар 150C Broen 4110216125;1;Запорная арматура;Краны;Broen;Z;NL;6 090,57;6 395,1;0301-00460;@;1;0
b9300048876;Радиатор биметалл  9 секций Bimetta;8;Отопительное оборудование;Радиаторы;Bimetta;Q;D0;2 773,77;3 944,3;0502-06932;&;0;0
b9300040710;Заглушка НПВХ для раструба Дн200 Хемкор;18;Трубы канализационные, соединительные детали и изделия;Трубы для наружного водоотведения и соед части;Хемкор;Q;D0;164,6;263,36;0202-00580;&;0;0
b0100009749;Радиатор алюминий KONNER LUX85 500 8 секций Konner;1;Отопительное оборудование;Радиаторы;Konner;Z;NL;1 855,38;1 948,15;0502-01425;@;1;0
b9300044033;Кран шаровой латунь Стандарт 232 11б27п1 Ду15 ВР/нак.г бабочка ГАЛЛОП 103167;180;Запорная арматура;Краны;ГАЛЛОП;S;Pz;101,9;163,04;0301-02532;@;0;0
b9300048810;Радиатор биметалл  6 секций Bimetta;502;Отопительное оборудование;Радиаторы;Bimetta;Q;D0;1 849,18;2 629,53;0502-06929;&;0;0
b9300048989;Труба сталь эл/св Дн89х5,0 ГОСТ 10704-91 ТМК;0,7;Трубопроводы и соединительные части;Труба стальная и соединительные части;ТМК;Z;D0;316,38;506,21;;@;0;0
b0100025529;Воздухоотводчик Ду20 угл авт Icma 82.715.AE.06;1;Отопительное оборудование;Воздухоотводчики;Icma;Z;NL;270,35;283,87;0504-00030;@;1;0
b0100009833;Элемент терморегулирующий RAW-K  жидк Danfoss 013G5030;114;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Danfoss;Q;D0;719,19;1 268,83;;&;0;0
b0100008552;Картридж  ПРОФИ Ферростоп  Барьер;2;Регулирующая и предохр арматура и автоматика;Фильтры и грязевики;Барьер;Z;NL;414,1;434,81;;&;2;8
b0100013652;Конвектор Универсал ТБ-А-С КСК-20 0,700кВт прох без з/у резьба прав/лев тип У14А Сантехпром;2;Отопительное оборудование;Конвекторы;Сантехпром;Q;D0;1 833,93;2 590;0501-01914;&;0;0
b0100030420;Нагревательный элемент RCA PA 1,5 кВт. М5 под анод (816644) (ЧЕЛЯБ);2;Водонагреватели;Комплектующие для водонагревателей;;Z;NL;464,6;487,83;;&;2;8
b0100015831;Клапан балансировочный MSV-F Ду40 Danfoss;1;Регулирующая и предохр арматура и автоматика;Клапаны балансировочные;Danfoss;Z;NL;6 608,7;20 029,01;;&;2;8
b0100030476;ТЭН 1700W (прямой с отверстием L=169, R=13, M=120) (3406054) (ЧЕЛЯБ);2;Водонагреватели;Комплектующие для водонагревателей;;Z;NL;353,5;385;;&;2;8
b9300044331;Кран шаровой латунь Стандарт 220 11б27п1 Ду32 ВР/ВР рычаг ГАЛЛОП 103172;1;Запорная арматура;Краны;ГАЛЛОП;S;D2;395,87;633,92;0301-02471;@;0;0
b0100016485;Люк полимер  тип Л ЛПКЛМ серый/черный А15 m=25кг;2;Трубы канализационные, соединительные детали и изделия;Люки, трапы, колодцы и дождеприемники полимерные;_;S;P2;411,55;658,48;0203-00008;&;0;0
b0100022370;Угольник латунь Дн32х32 обжим Valtec VTm.351.N.003232;7;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;362,48;1 239;0103-01031;&;2;8
b0100008271;Контргайка сталь Ду20 по ГОСТ 8968-75;108;Трубопроводы и соединительные части;Труба стальная и соединительные части;_;S;D0;16,38;26,21;0101-01443;@;0;0
b0100009801;Кран шаровой латунь 11б27п1 Ду20 ВР/ВР СТП 11Б27п1;1;Запорная арматура;Краны;СТП;Q;D0;83,96;165;0301-01710;&;0;0
b0100008522;Угольник латунь Дн16х1/2" пресс НР Valtec VTm.253.N.001604;2;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;NL;58,78;190;0103-00956;&;2;8
b0100007866;Переход сталь оц Дн108х89 ГОСТ 17378-2001 ПЗКТ;3;Трубопроводы и соединительные части;Труба стальная и соединительные части;ПЗКТ;S;Pz;79,04;126,46;0101-00578;@;0;0
b0100021593;Радиатор сталь панельный Classic 22 300х1100 1533Вт бок прав/лев PRADO;21;Отопительное оборудование;Радиаторы;PRADO;Z;NL;2 416,3;2 537,12;0502-01651;@;1;0
b0100015560;Умывальник Браво белый 1 отверстие 1 величины б/комплекта Лобня;18;Сантехника;Умывальники;Лобня;Z;D0;635,47;1 016,75;0903-00013;&;0;6
b9300049427;Труба PP-H Дн110х2,2 б/нап L=1,5м в комплекте СТК-У ПК Контур  75270110600;48;Трубы канализационные, соединительные детали и изделия;Трубы для внутреннего водоотведения и соед части;ПК Контур;Q;D0;120,46;256,5;2700-00045;&;0;0
b0100013149;Клавиша для инсталляции М05 хром глянец прямоугольн Cersanit 73115;1;Сантехника;Унитазы;Cersanit;Z;NL;999,9;1 049,9;0902-00548;&;2;8
b0100030438;Термостат стержневой RTM 15A 70гр. (3412105) (ЧЕЛЯБ);1;Водонагреватели;Комплектующие для водонагревателей;;Z;NL;291,99;270;;&;2;8
b0100030466;Прокладка фланцевая  (993012) (ЧЕЛЯБ);3;Водонагреватели;Комплектующие для водонагревателей;;Z;NL;383,8;418;;&;2;8
b9300044317;Кран шаровой латунь Стандарт 220 11б27п1 Ду15 ВР/ВР рычаг ГАЛЛОП 103150;517;Запорная арматура;Краны;ГАЛЛОП;S;Pz;78,49;123,74;0301-02466;@;0;0
b9300044326;Кран шаровой латунь Стандарт 230 11б27п1 Ду20 ВР/ВР бабочка ГАЛЛОП 103187;232;Запорная арматура;Краны;ГАЛЛОП;S;Pz;121,66;194,66;0301-02527;@;0;0
b0100009703;Угольник PP-R двойн белый Дн20х1/2" ВР с креплением ПК Контур 011422020100;368;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;Pz;85,01;182,8;0105-01315;@;0;0
b0100018608;Радиатор алюминий Термал Стандарт-52 500 14 секций 2,254кВт ЗМЗ;5;Отопительное оборудование;Радиаторы;ЗМЗ;Z;D0;3 585,62;5 736,99;0502-01609;&;0;7
b0100030460;Клапан предохранительный 1/2" 6 бар. (0,6 МПа) (100506) (ЧЕЛЯБ);1;Водонагреватели;Комплектующие для водонагревателей;;Z;NL;202;212,1;;&;2;8
b0100020346;Клапан терморегулирующий  Ду20 угл ручной Giacomini R5X034;5;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;Z;D0;477,3;763,68;0503-00017;@;0;1
b0100013660;Конвектор Универсал ТБ-А-С КСК-20 1,000кВт прох без з/у резьба прав/лев тип У16А Сантехпром;2;Отопительное оборудование;Конвекторы;Сантехпром;Z;NL;1 966,26;2 064,57;0501-01922;&;2;8
b0100014006;Штуцер латунь Дн32х1" для PE-X ВР Uponor 1047866 (1001270);13;Трубопроводы и соединительные части;Труба из сшитого полиэтилена (Pex)и соединительные части;Uponor;Z;NL;632,99;1 373,1;0104-00075;@;1;0
b9300044325;Кран шаровой латунь Стандарт 220 11б27п1 Ду20 ВР/ВР рычаг ГАЛЛОП 103182;478;Запорная арматура;Краны;ГАЛЛОП;S;Pz;121,66;194,66;0301-02468;@;0;0
b9300048180;Котел газ настенный VICTORIA COMPACT CTFS 24AF 23,7кВт Fondital CVAR02CA24;10;Котлы и горелки;Котлы газовые;Fondital;Q;D0;24 612;39 379,2;;&;0;0
b9300048565;Задвижка 30ч925бр чугун Ду1000 Ру2,5;1;Запорная арматура;Задвижки;_;Z;D0;279 955;447 928;;@;0;0
b0200039281;Конвектор F117 DESIGN 1кВт 220В эл  ATLANTIC 513810;1;Отопительное оборудование;Конвекторы;ATLANTIC;Z;NL;2 048;3 200;;@;1;0
