b0100008464;Труба PP-RGF арм стекловолокном белый Дн20х3,4 Ру25 80C L=4м ПК Контур 010220020000;7 430;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;25,39;54,6;0105-00640;@;0;0
b0100008465;Труба PP-RGF арм стекловолокном белый Дн25х4,2 Ру25 80C L=4м ПК Контур 010220025000;5 028;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;40,27;86,6;0105-00641;@;0;0
b0100008483;Ванна чугун 1500х700мм Ресса Silver белый б/сифона Киров;16;Сантехника;Ванны;Киров;S;Pz;7 547,58;10 878;0901-00006;@;0;0
b0100008512;Соединитель латунь Дн16х1/2" пресс ВР Valtec VTm.202.N.001604;23;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;D0;65,94;110;0103-00947;@;0;1
b0100008515;Муфта латунь Дн26х26 пресс Valtec VTm.203.N.002626;10;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;D0;157,09;285;0103-00949;&;0;0
b0100008521;Угольник латунь Дн20х3/4" пресс ВР Valtec VTm.252.N.002005;2;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;NL;138,9;167;0103-00955;&;0;0
b0100008522;Угольник латунь Дн16х1/2" пресс НР Valtec VTm.253.N.001604;0;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Z;D0;83,66;145;0103-00956;@;0;1
b0100008528;Отвертка CrV Expert SPARTA SL5х150мм двухкомпонентная ручка  11608;1;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;SPARTA;Z;D0;36,9;48;1201-00478;&;0;6
b0100008529;Отвертка CrV Expert SPARTA PH2х100мм двухкомпонентная ручка  11634;1;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;SPARTA;Z;D0;40,69;53;1201-00479;&;0;6
b0100016918;Труба PP-RGF арм стекловолокном Дн32х5,4 Ру20 Политэк;260;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;Политэк;Z;NL;55,65;60;0105-01162;&;0;6
b0100016946;Клапан обратный латунь VYC170-01 Ду80 Ру16 межфл 250C АДЛ 4 684;1;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;АДЛ;Z;D0;8 246,67;9 071,27;0405-00384;&;0;8
b0100026605;Манжета M1D D100/100 Protherm 0020055536;1;Котлы и водонагреватели;Комплектующие и аксессуары для котлов;Protherm;Z;NL;261,05;279;0606-00134;&;0;8
mt000000151;Тройник латунь переходн Дн26х26х20 пресс для мп Comap 733JJE;115;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;S;P2;396,04;600;0103-00277;&;0;0
b0100012876;Набор для гусака смесителя имп/отеч резина №4 прокладка;20;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;14,51;24;1002-00055;&;0;0
b0100012877;Набор для вентилей резина №6 прокладка;69;Изоляция и уплотнение;Уплотнительные материалы;_;S;P2;15,54;25;1002-00056;&;0;0
b0100014119;Клапан запорн латунь 15б3р Ду40 Ру10 ВР/ВР STC 0100;34;Запорная арматура;Клапаны;STC;S;Pz;506,35;1 217,37;0304-00031;&;0;0
b0100014120;Клапан запорн латунь 15б3р Ду50 Ру10 ВР/ВР STC 0100;32;Запорная арматура;Клапаны;STC;S;Pz;644,83;1 437,8;0304-00303;&;0;0
b0100014122;Клапан запорн латунь 15б1п Ду15 Ру16 ВР/ВР STC 0200;88;Запорная арматура;Клапаны;STC;S;D0;95,23;223,37;0304-00005;&;0;0
b0100014124;Клапан запорн латунь 15б1п Ду25 Ру16 ВР/ВР STC 0200;69;Запорная арматура;Клапаны;STC;S;Pz;169,88;320,36;0304-00007;&;0;0
b0100014126;Клапан запорн латунь 15б1п Ду40 Ру16 ВР/ВР STC 0200;162;Запорная арматура;Клапаны;STC;S;P2;573,71;1 229,12;0304-00008;&;0;0
b0100014127;Клапан запорн латунь 15б1п Ду50 Ру16 ВР/ВР STC 0200;18;Запорная арматура;Клапаны;STC;S;P2;731,24;1 378,43;0304-00051;&;0;0
b0100014148;Задвижка шиберная VG3400-0003 чугун Ду350 Ру10 межфл уплотнение нитрил Tecofi;1;Запорная арматура;Задвижки;Tecofi;Z;NL;40 122,66;42 931;0302-00021;&;0;8
b0100026445;Кран шаровой BASE латунь VT.227 Ду1 1/4" ВР/НР полный проход бабочка с полусгоном -30+150С Valtec VT.227.N.07;0;Запорная арматура;Краны;Valtec;Q;D0;784,3;1 198;0301-01978;&;0;0
b0100005349;Трубка  FRZ 48/9 L=2м 95C серый Thermaflex;172;Изоляция и уплотнение;Изоляция и термоизоляция;Thermaflex;Z;NL;42,4;49;1001-00624;&;0;8
b0100005347;Паста уплотнительн 75гр Unipak;15;Изоляция и уплотнение;Уплотнительные материалы;Unipak;S;D1;116,4;177;1002-00235;&;0;0
b0100005275;Угольник PP-R комбинированн белый Дн25х3/4" НР ПК Контур 011411025200;141;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;Pz;46,08;99,1;0105-00029;@;0;0
