код;Наименование;Цена, руб;Наличие;Примечание;Комментарий
b0100015275;Водонагреватель эл накопительный 30л 1,5/2,5кВт сталь ABS VLS PW Ariston;0.00;-;Товар заказной;
b9300044822;Водонагреватель накопительный 50л Ecofix 50V Ariston;0.00;-;Товар заказной;
b9300039272;Водонагреватель эл накопительный 100л 1,5кВт Superlux NTS 100V (SU) Ariston;0.00;-;Товар заказной;
b9300039274;Водонагреватель эл накопительный 200л настенный 2,2кВт ARI 200 VERT 505 THERM MO SF Ariston;0.00;-;Товар заказной;
b9300053841;Водонагреватель эл накопительный OKCE 750 S/1 Drazice 105513032;0.00;-;Товар заказной;
b9300053842;Водонагреватель эл накопительный OKCE 1000 S/1 Drazice 105513033;0.00;-;Товар заказной;
b0100022562;Водонагреватель эл накопительный 2,2кВт OKCE 100 NTR Drazice;0.00;-;Товар заказной;
b0100034278;Водонагреватель эл накопительный OKCE 500 S Drazice;0.00;-;Товар заказной;
b0100022564;Водонагреватель эл накопительный 2,2кВт OKCE 160 NTR Drazice;0.00;-;Товар заказной;
b0100015328;Водонагреватель эл накопительный 50л верт 1,5кВт ES 50 V Thermex;6354.44;в наличии;Товар заказной;
b0100037285;Водонагреватель эл накопительный 200л напольный 2,4кВт сталь эмалированная STEATITE ATLANTIC 882101;28380.00;в наличии;;
b0100037267;Водонагреватель эл накопительный 150л настенный 2,4+1,2кВт сталь эмалированная CUBE STEATITE ATLANTIC 871193;23220.00;есть, но мало;;
b0100037266;Водонагреватель эл накопительный 100л настенный 2,4+1,2кВт сталь эмалированная CUBE STEATITE ATLANTIC 861189;18060.00;в наличии;;
b0100037265;Водонагреватель эл накопительный 75л настенный 2,4+1,2кВт сталь эмалированная CUBE STEATITE ATLANTIC 851158;15480.00;в наличии;;
b9300048478;Водонагреватель эл накопительный 80л настенный 2,100кВт сталь эмалированная STEATITE N3 Slim line ATLANTIC 851235;11960.00;в наличии;;
b0100037270;Водонагреватель эл накопительный 100л настенный 1,5кВт сталь эмалированная STEATITE ATLANTIC 861234;11610.00;-;;
b0100024661;Водонагреватель эл накопительный 100л 1,5/2,5кВт сталь ABS VLS PW Ariston;0.00;-;Товар заказной;
b0100007401;Водонагреватель эл накопительный 150л верт 1,8кВт сталь ABS PRO ECO Ariston;0.00;-;Товар заказной;
