b0100009747;Ниппель для радиатора Ogint сталь кадмированная  Ду25 Ogint;252;Отопительное оборудование;Радиаторы;Ogint;S;D0;8,68;14,3;0502-00031;@;0;0
b0100009749;Радиатор алюминий KONNER LUX85 500 8 секций Konner;3;Отопительное оборудование;Радиаторы;Konner;Q;NL;1 837,01;2 021;0502-01425;&;0;0
b0100009801;Кран шаровой латунь 11б27п1 Ду20 ВР/ВР СТП 11Б27п1;28;Запорная арматура;Краны;СТП;Q;D0;83,96;165;0301-01710;&;0;0
b0100009822;Набор резина №10 прокладка;21;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;19,4;33;1002-00054;&;0;0
b0100009834;Насос скважинный Водолей 0,5-40У БЦПЭ 1000Вт Промэлектро;0;Насосное оборудование;Насосы и насосные установки;Промэлектро;S;D2;11 216,42;15 293;0801-01555;&;0;0
b0100009833;Элемент терморегулирующий RAW-K  жидк Danfoss 013G5030;85;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Danfoss;S;D0;536,24;974,78;;@;0;0
b0100009871;Воздухоотводчик Ду25 авт лев Icma 82.716.AT.06    019-0295;1;Отопительное оборудование;Воздухоотводчики;Icma;Z;NL;174,43;187;0504-00020;&;0;8
b0100009889;Резак для ПП труб JRF PC-209 ПК Контур (0-75мм)  012400209010;5;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;ПК Контур;S;Pz;2 067,21;4 445,6;1201-00529;&;0;0
b0100009894;Расходомер ПРЭМ-D эл/магн с блоком питания б/комплекта  Ду65 фл Теплоком;14;Приборы учета и КИП;Теплосчетчики;Теплоком;S;P2;18 640,4;26 734;0705-00338;F;0;0
b0100009907;Насос дозирующий 45MPHP10 в комплекте Stenner;1;Насосное оборудование;Насосы и насосные установки;Stenner;Z;NL;30 336,44;33 370;;&;0;8
b0100009924;Тройник сталь оц Дн76х3,5-57х3,0 ГОСТ 17376-2001 УТД;14;Трубопроводы и соединительные части;Труба стальная и соединительные части;УТД;Z;NL;790;869;;&;0;8
b0100009927;Клапан предохранительный регулируемый латунь VT.1831 Ду3/4" ВР/ВР Ру1-12 Valtec VT.1831.N.05;0;Регулирующая и предохр арматура и автоматика;Клапаны предохранительные;Valtec;Z;D0;714,91;1 297;0404-00091;@;0;1
b0100009931;Кран шаровой для мп латунь Faro Дн16х16  бабочка STC 1232;94;Запорная арматура;Краны;STC;S;P2;141,46;201,21;0301-00027;@;0;0
b0100009929;Клапан обратный чугун V287 Ду80 Ру16 фл подъемный Zetkama 949;2;Регулирующая и предохр арматура и автоматика;Затворы, клапаны обратные;Zetkama;Z;NL;8 534,52;9 132;0405-00333;&;0;6
