b0100009747;Ниппель для радиатора Ogint сталь кадмированная  Ду25 Ogint;89;Отопительное оборудование;Радиаторы;Ogint;S;D0;8,68;14,3;0502-00031;@;0
b0100009766;Чаша чугун Генуя напольн эмаль белый б/комплекта;1;Сантехника;Унитазы;_;Z;D0;1 985;2 633;0902-00310;&;0
b0100009801;Кран шаровой латунь 11б27п1 Ду20 ВР/ВР СТП 11Б27п1;4;Запорная арматура;Краны;СТП;Q;D0;83,96;168;0301-01710;&;0
b0100009802;Кран шаровой латунь 11б27п1 Ду32 ВР/ВР СТП 11Б27п1;9;Запорная арматура;Краны;СТП;Q;D0;232,47;254;0301-01711;&;0
b0100009803;Кран шаровой латунь 11б27п1 Ду40 ВР/ВР СТП 11Б27п1;1;Запорная арматура;Краны;СТП;Q;D0;346,12;377;0301-01712;&;0
b0100009819;Набор резина №5 прокладка;15;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;15,84;26;1002-00052;&;0
b0100009821;Набор резина №8 прокладка;10;Изоляция и уплотнение;Уплотнительные материалы;_;S;D0;19,79;32;1002-00053;&;0
b0100009822;Набор резина №10 прокладка;0;Изоляция и уплотнение;Уплотнительные материалы;_;S;D2;19,4;33;1002-00054;&;0
b0100009871;Воздухоотводчик Ду25 авт лев Icma 82.716.AT.06    019-0295;2;Отопительное оборудование;Воздухоотводчики;Icma;Z;D0;174,43;191;0504-00020;&;0
b0100009888;Комплект сварочный PROFF-Z 110 ПК Контур 1200Вт 75-110мм с цифр.индикатором  012202075910;2;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;ПК Контур;Z;D0;5 314,3;11 428,6;1201-01063;&;0
b0100010007;Дрель-шуруповерт 6261 Makita 9,6Вт  ЖЛ96;1;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;Makita;Z;D0;5 524,88;6 199;;&;0
b0100010033;Угольник PP-R комбинированн белый Дн32х3/4" НР ПК Контур 011411032200;10;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Q;D0;72,36;155,6;0105-00693;&;0
b0100008464;Труба PP-RGF арм стекловолокном белый Дн20х3,4 Ру25 80C L=4м ПК Контур 010220020000;3 648;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;26,1;60,7;0105-00640;@;0
b0100008465;Труба PP-RGF арм стекловолокном белый Дн25х4,2 Ру25 80C L=4м ПК Контур 010220025000;3 836;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;41,37;96,2;0105-00641;@;0
b0100008466;Труба PP-RGF арм стекловолокном белый Дн32х5,4 Ру25 80C L=4м ПК Контур 010220032000;1 344;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;S;D0;69,02;160,5;0105-00642;@;0
b0100008483;Ванна чугун 1500х700мм Ресса Silver белый б/сифона Киров;14;Сантехника;Ванны;Киров;S;Pz;7 692,74;10 878;0901-00006;@;0
b0100008512;Соединитель латунь Дн16х1/2" пресс ВР Valtec VTm.202.N.001604;1;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;D0;65,94;110;0103-00947;&;0
b0100008515;Муфта латунь Дн26х26 пресс Valtec VTm.203.N.002626;1;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;NL;157,09;285;0103-00949;&;0
b0100008517;Тройник латунь переходн Дн20х20х16 пресс Valtec VTm.231.N.202016;31;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;D0;218,19;377;0103-00951;&;0
b0100008520;Угольник латунь Дн16х1/2" пресс ВР Valtec VTm.252.N.001604;2;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;NL;87,97;152;0103-00954;&;0
b0100008521;Угольник латунь Дн20х3/4" пресс ВР Valtec VTm.252.N.002005;6;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;NL;138,9;170;0103-00955;&;0
b0100008522;Угольник латунь Дн16х1/2" пресс НР Valtec VTm.253.N.001604;21;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;NL;83,66;145;0103-00956;&;0
b0100008523;Угольник латунь Дн20х3/4" пресс НР Valtec VTm.253.N.002005;9;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Valtec;Q;NL;138,06;233;0103-00957;&;0
mt000000151;Тройник латунь переходн Дн26х26х20 пресс для мп Comap 733JJE;4;Трубопроводы и соединительные части;Труба металлопластиковая (Pex-Al-Pex, Pex-Al-Pert )и соединительные части;Comap;S;P2;396,04;600;0103-00277;0;0
b0100012878;Набор для смесителя вентиля подводки резина №1 прокладка;1;Изоляция и уплотнение;Уплотнительные материалы;_;S;D2;13,85;22;1002-00057;&;0
b0100012958;Комплект сварочный PROFF-Z 63 ПК Контур 800Вт 20-63мм с цифр. управлением  012202020610;1;Инструмент и сварочное оборудование;Инструмент и сопутствующие товары;ПК Контур;S;D2;4 048,95;8 707,4;1201-00642;&;0
b0100013026;Соединение PP-R муфт разъемн Дн20 ПК Контур 011317020010;32;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;35,25;75,8;0105-01150;&;0
b0100013027;Соединение PP-R муфт разъемн Дн25 ПК Контур 011317025010;20;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Z;D0;44,83;96,4;0105-01151;&;0
b0100013066;Бурт PP-R трубн Дн20 ПК Контур 011309020000;830;Трубопроводы и соединительные части;Труба полипропиленовая (PP-R)и соединительные части;ПК Контур;Q;D0;4,55;9,8;0105-01152;&;0
b0100013609;Конвектор Универсал ТБ-А КСК-20 0,400кВт прох без з/у резьба прав/лев тип У1 Сантехпром;1;Отопительное оборудование;Конвекторы;Сантехпром;Z;NL;853,56;1 280;0501-01873;@;0
b0100013925;Кран шаровой сталь вода КШЦФ Ду50 Ру40 фл полный проход рычаг LD 11110500402MULD000000000;3;Запорная арматура;Краны;LD;S;D1;1 529,55;1 980;0301-00723;@;0
b0100013996;Муфта латунь переходн никель Ду1 1/2"х2" ВР General Fittings;4;Трубопроводы и соединительные части;Латунные и чугунные соединительные части трубопроводов;General Fittings;S;D0;356,59;533,52;0111-01188;&;0
b0100013992;Клапан термостатическ  Ду15 прям Giacomini R402X133;1;Отопительное оборудование;Регулирующая арматура и узлы подключения для приборов отопления;Giacomini;Q;NL;306,92;407,01;0503-00186;&;0
